Type,Tax Category,Tax Sub Category,Tax Particular,Major Head,Actual 2017-2018,Budget 2018-2019,Revised 2018-2019,Budget 2019-2020
Tax Revenue,Corporation Tax,,Collections,20,486113.18,527750.39,575795.77,652168.08
Tax Revenue,Corporation Tax,,Surcharge,20,21439.48,63711.15,64777.02,73368.91
Tax Revenue,Corporation Tax,,Education Cess,20,16305.02,29538.46,30427.21,34463.01
Tax Revenue,Corporation Tax,,Penalties,20,1526.86,0,0,0
Tax Revenue,Corporation Tax,,Interest Recoveries,20,3209.3,0,0,0
Tax Revenue,Corporation Tax,,Tax on Distributed Profits of Domestic Companies,20,41180.67,0,0,0
Tax Revenue,Corporation Tax,,Tax on Distributed Income to Unit Holders,20,879.45,0,0,0
Tax Revenue,Corporation Tax,,Miscellaneous Receipts,20,547.91,0,0,0
Tax Revenue,Taxes on Income,,Collections,21,388197.66,461182.33,461182.33,540590.16
Tax Revenue,Taxes on Income,,Surcharge,21,3172.17,36894.59,36894.59,43232.64
Tax Revenue,Taxes on Income,,Education Cess,21,11869.08,19923.08,19923.08,23377.2
Tax Revenue,Taxes on Income,,Penalties,21,424.93,0,0,0
Tax Revenue,Taxes on Income,,Interest Recoveries,21,4318.02,0,0,0
Tax Revenue,Taxes on Income,,Tax Under Black Money,21,9.94,0,0,0
Tax Revenue,Taxes on Income,,Miscellaneous Receipts,21,99.63,0,0,0
Tax Revenue,Taxes on Income,,Banking Transaction Tax (BCTT),36,0.01,0,0,0
Tax Revenue,Taxes on Income,,Security Transaction Tax,34,11881.4,11000,11000,12800
Tax Revenue,Taxes on Income,,Hotel Receipts Tax,23,0.5,0,0,0
Tax Revenue,Taxes on Income,,Interest Tax,24,4.45,0,0,0
Tax Revenue,Taxes on Income,,Fringe Benefit Tax,26,-93.29,0,0,0
Tax Revenue,Taxes on Income,Other Taxes on Income and Expenditure,Expenditure Tax,28,0,0,0,0
Tax Revenue,Taxes on Income,Other Taxes on Income and Expenditure,"Income Declaration Scheme, 2016",28,0,0,0,0
Tax Revenue,Taxes on Income,Other Taxes on Income and Expenditure,"Taxation and Investment Regime for Pradhan Mantri Garib Kalyan Yojna, 2016",28,0,0,0,0
Tax Revenue,Taxes on Income,Other Taxes on Income and Expenditure,Other Receipts,28,0,0,0,0
Tax Revenue,Taxes on Income,,Land Revenue,29,0,0,0,0
Tax Revenue,Taxes on Income,,Stamps and Registration,30,0,0,0,0
Tax Revenue,Taxes on Income,,Krishi Kalyan Cess,28,0,0,0,0
